UDI;ProductID;Type;AirTemperatureK;ProcessTemperatureK;RotationalSpeedRPM;TorqueNm;ToolWearMin;MachineFailure;TWF;HDF;PWF;OSF;RNF;EventDate;Site;City;Technician;Criticality;EstimatedCost;Status
1;M14860;M;298,1;308,6;1551;42,8;0;0;0;0;0;0;0;2025-06-12;Site_F;Enugu;Kemi;Medium;4712;Scheduled
2;L47181;L;298,2;308,7;1408;46,3;3;0;0;0;0;0;0;2024-02-04;Site_F;Enugu;Chinedu;Medium;3940;Monitoring
3;L47182;L;298,1;308,5;1498;49,4;5;0;0;0;0;0;0;2025-04-21;Site_C;Kano;Kemi;Medium;2645;Monitoring
4;L47183;L;298,2;308,6;1433;39,5;7;0;0;0;0;0;0;2025-01-20;Site_A;Lagos;Amina;Medium;4128;Scheduled
5;L47184;L;298,2;308,7;1408;40;9;0;0;0;0;0;0;2025-02-07;Site_C;Kano;Chinedu;Low;1640;Scheduled
6;M14865;M;298,1;308,6;1425;41,9;11;0;0;0;0;0;0;2026-03-01;Site_D;PortHarcourt;Samuel;Low;1542;Monitoring
7;L47186;L;298,1;308,6;1558;42,4;14;0;0;0;0;0;0;2025-05-18;Site_B;Abuja;Fatima;Low;1422;Monitoring
8;L47187;L;298,1;308,6;1527;40,2;16;0;0;0;0;0;0;2024-06-14;Site_C;Kano;Fatima;Medium;4510;Monitoring
9;M14868;M;298,3;308,7;1667;28,6;18;0;0;0;0;0;0;2026-02-25;Site_D;PortHarcourt;David;Low;1464;Monitoring
10;M14869;M;298,5;309;1741;28;21;0;0;0;0;0;0;2025-03-04;Site_F;Enugu;Amina;Medium;2602;Monitoring
11;H29424;H;298,4;308,9;1782;23,9;24;0;0;0;0;0;0;2025-12-06;Site_F;Enugu;David;Medium;5808;Scheduled
12;H29425;H;298,6;309,1;1423;44,3;29;0;0;0;0;0;0;2024-05-29;Site_D;PortHarcourt;Chinedu;Low;690;Scheduled
13;M14872;M;298,6;309,1;1339;51,1;34;0;0;0;0;0;0;2025-11-20;Site_F;Enugu;Ibrahim;Low;1704;Monitoring
14;M14873;M;298,6;309,2;1742;30;37;0;0;0;0;0;0;2024-11-17;Site_C;Kano;Ngozi;Medium;5287;Monitoring
15;L47194;L;298,6;309,2;2035;19,6;40;0;0;0;0;0;0;2025-12-02;Site_A;Lagos;Fatima;Low;895;Monitoring
16;L47195;L;298,6;309,2;1542;48,4;42;0;0;0;0;0;0;2024-05-21;Site_D;PortHarcourt;Chinedu;Low;570;Scheduled
17;M14876;M;298,6;309,2;1311;46,6;44;0;0;0;0;0;0;2024-04-18;Site_F;Enugu;Ibrahim;Medium;5795;Scheduled
18;M14877;M;298,7;309,2;1410;45,6;47;0;0;0;0;0;0;2025-08-16;Site_F;Enugu;Amina;Low;2267;Scheduled
19;H29432;H;298,8;309,2;1306;54,5;50;0;0;0;0;0;0;2025-04-24;Site_A;Lagos;Chinedu;Medium;4295;Monitoring
20;M14879;M;298,9;309,3;1632;32,5;55;0;0;0;0;0;0;2025-03-14;Site_C;Kano;Ngozi;Low;2192;Monitoring
21;H29434;H;298,9;309,3;1375;42,7;58;0;0;0;0;0;0;2025-08-10;Site_A;Lagos;Ngozi;Medium;5456;Scheduled
22;L47201;L;298,8;309,3;1450;44,8;63;0;0;0;0;0;0;2025-05-22;Site_F;Enugu;Chinedu;Low;2436;Monitoring
23;M14882;M;298,9;309,3;1581;30,7;65;0;0;0;0;0;0;2026-02-08;Site_E;Ibadan;Chinedu;Medium;3124;Monitoring
24;L47203;L;299;309,4;1758;25,7;68;0;0;0;0;0;0;2025-12-05;Site_D;PortHarcourt;Chinedu;Low;568;Monitoring
25;M14884;M;299;309,4;1561;37,3;70;0;0;0;0;0;0;2025-02-08;Site_F;Enugu;David;Medium;5385;Monitoring
26;L47205;L;299;309,5;1861;23,3;73;0;0;0;0;0;0;2025-01-14;Site_E;Ibadan;Ngozi;Medium;5703;Scheduled
27;L47206;L;299,1;309,5;1512;39;75;0;0;0;0;0;0;2024-05-17;Site_F;Enugu;Chinedu;Low;1268;Monitoring
28;H29441;H;299,1;309,4;1811;24,6;77;0;0;0;0;0;0;2025-02-09;Site_F;Enugu;Tunde;Low;1254;Monitoring
29;L47208;L;299,1;309,4;1439;44,2;82;0;0;0;0;0;0;2026-01-15;Site_E;Ibadan;Samuel;Low;2179;Monitoring
30;L47209;L;299;309,4;1693;30,1;84;0;0;0;0;0;0;2025-01-15;Site_A;Lagos;Zainab;Low;1377;Monitoring
31;M14890;M;299,1;309,5;1339;48,2;86;0;0;0;0;0;0;2025-12-27;Site_D;PortHarcourt;Ngozi;Medium;3093;Monitoring
32;L47211;L;299;309,4;1798;25,5;89;0;0;0;0;0;0;2024-02-07;Site_E;Ibadan;Tunde;Medium;3619;Scheduled
